                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.47209,                0.24491,                0.88238,                 0.5056,                0.18644,                0.89238,                0.99289,                 0.9963,                0.99426,                0.88383,                0.49776,                 0.2149,                0.90743,                0.51074,                0.15516,                 0.9166,              0.0006768,              0.0006768,              0.0006768
                     63,                0.46436,                0.24241,                0.87907,                0.49094,                0.18154,                0.88808,                0.98885,                0.99946,                0.99407,                0.88595,                0.48856,                0.21019,                 0.9029,                 0.5083,                0.15662,                0.91011,              0.0006603,              0.0006603,              0.0006603
                     64,                0.46328,                0.23926,                0.86775,                0.49752,                0.18008,                0.87632,                0.99511,                0.99997,                0.99452,                0.89251,                 0.4782,                0.21879,                0.90075,                0.47884,                0.14252,                0.90688,              0.0006438,              0.0006438,              0.0006438
                     65,                0.46245,                0.24533,                0.87287,                0.49593,                0.18564,                0.88031,                0.99301,                0.98787,                0.99426,                0.88831,                0.48961,                0.21704,                0.90208,                0.48903,                0.15322,                0.90472,             0.00062729,             0.00062729,             0.00062729
                     66,                0.46004,                0.23693,                0.87251,                0.48494,                0.17413,                0.88061,                 0.9927,                0.99978,                0.99419,                0.89044,                0.47865,                0.20964,                0.89869,                0.48787,                 0.1545,                0.90305,             0.00061079,             0.00061079,             0.00061079
                     67,                 0.4548,                0.23913,                0.87428,                0.48464,                0.18343,                0.88316,                0.99575,                0.99932,                0.99349,                0.89595,                0.49069,                0.21987,                0.90493,                0.49459,                0.15543,                0.90795,             0.00059429,             0.00059429,             0.00059429
                     68,                0.45773,                 0.2472,                0.87475,                0.48352,                0.19467,                0.88492,                0.99188,                0.99488,                0.99426,                0.88807,                0.48011,                0.21425,                0.90243,                0.48705,                 0.1527,                0.90955,             0.00057778,             0.00057778,             0.00057778
                     69,                0.46771,                0.25022,                0.87544,                0.49448,                0.18479,                0.88205,                0.99516,                      1,                0.99445,                0.89443,                0.49287,                0.20998,                0.90678,                0.50076,                0.14407,                0.91181,             0.00056128,             0.00056128,             0.00056128
                     70,                0.44573,                 0.2346,                0.85697,                0.46808,                0.17399,                 0.8644,                0.99184,                 0.9996,                0.99408,                0.89808,                0.47003,                 0.2021,                0.89916,                0.47943,                0.15325,                0.90534,             0.00054478,             0.00054478,             0.00054478
                     71,                0.45323,                 0.2408,                0.86715,                0.48647,                 0.1889,                0.87555,                0.98789,                      1,                0.99376,                0.89032,                 0.4833,                0.21609,                 0.9045,                 0.4888,                0.16168,                0.90734,             0.00052827,             0.00052827,             0.00052827
                     72,                0.45399,                0.23691,                 0.8747,                 0.4758,                0.17682,                0.88189,                0.99238,                0.99794,                0.99401,                0.89604,                0.47998,                0.20409,                0.89966,                0.48393,                0.14965,                0.90362,             0.00051177,             0.00051177,             0.00051177
                     73,                 0.4465,                0.23324,                0.86259,                0.46678,                0.17131,                0.87046,                0.99112,                      1,                0.99426,                0.88978,                0.47488,                 0.2008,                0.89717,                0.47776,                0.14466,                0.90165,             0.00049527,             0.00049527,             0.00049527
                     74,                0.43404,                0.22644,                0.85767,                0.45666,                0.16827,                0.86343,                0.99629,                0.99493,                0.99426,                0.89582,                0.48839,                0.20597,                0.90023,                0.48968,                0.15646,                0.90435,             0.00047876,             0.00047876,             0.00047876
                     75,                0.44836,                0.22815,                0.87053,                0.47112,                0.17204,                0.87691,                0.99457,                0.98889,                0.99448,                 0.8972,                0.47794,                0.20743,                0.89798,                0.47912,                0.15599,                0.90107,             0.00046226,             0.00046226,             0.00046226
                     76,                  0.447,                0.22821,                0.85452,                0.46794,                0.16951,                0.86013,                0.98123,                      1,                0.99449,                0.88696,                0.50248,                0.20835,                0.90505,                0.50663,                0.16294,                0.90799,             0.00044576,             0.00044576,             0.00044576
                     77,                0.44651,                0.23605,                0.86833,                0.46806,                0.16746,                0.87591,                 0.9704,                      1,                0.99419,                0.88995,                0.48227,                 0.2036,                0.90315,                0.49076,                0.16544,                0.90787,             0.00042925,             0.00042925,             0.00042925
                     78,                0.43839,                0.22933,                0.85922,                0.46352,                0.17513,                0.86583,                0.99525,                0.99678,                0.99456,                0.88309,                0.49893,                0.21139,                0.90314,                0.50164,                0.14958,                0.90734,             0.00041275,             0.00041275,             0.00041275
                     79,                0.45534,                0.23176,                0.86771,                0.47604,                0.16603,                0.87286,                0.99193,                0.99285,                0.99456,                0.88489,                0.48924,                0.21232,                0.90246,                0.49313,                0.15622,                 0.9056,             0.00039625,             0.00039625,             0.00039625
                     80,                0.43391,                0.22899,                0.85418,                0.45609,                0.16338,                 0.8626,                 0.9954,                      1,                0.99426,                0.89382,                0.49473,                0.20771,                0.90477,                0.50559,                0.14877,                0.91099,             0.00037974,             0.00037974,             0.00037974
